"","start","end","strand","seqnames","unique_row_ID"
"4314",7012702,7013252,"+","H37Rv",8625
"12335",7012702,7013252,"-","H37Rv",8626
"4315",7013252,7013802,"+","H37Rv",8627
"12336",7013252,7013802,"-","H37Rv",8628
"4316",7013802,7014352,"+","H37Rv",8629
"12337",7013802,7014352,"-","H37Rv",8630
"4317",7014352,7014902,"+","H37Rv",8631
"12338",7014352,7014902,"-","H37Rv",8632
"4318",7014902,7015452,"+","H37Rv",8633
"12339",7014902,7015452,"-","H37Rv",8634
"4319",7015452,7016002,"+","H37Rv",8635
"12340",7015452,7016002,"-","H37Rv",8636
"4320",7016002,7016552,"+","H37Rv",8637
"12341",7016002,7016552,"-","H37Rv",8638
"4321",7016552,7017102,"+","H37Rv",8639
"12342",7016552,7017102,"-","H37Rv",8640
"4322",7017102,7017652,"+","H37Rv",8641
"12343",7017102,7017652,"-","H37Rv",8642
"4323",7017652,7018202,"+","H37Rv",8643
"12344",7017652,7018202,"-","H37Rv",8644
"4324",7018202,7018752,"+","H37Rv",8645
"12345",7018202,7018752,"-","H37Rv",8646
"4325",7018752,7019302,"+","H37Rv",8647
"12346",7018752,7019302,"-","H37Rv",8648
"4326",7019302,7019852,"+","H37Rv",8649
"12347",7019302,7019852,"-","H37Rv",8650
"4327",7019852,7020402,"+","H37Rv",8651
"12348",7019852,7020402,"-","H37Rv",8652
"4328",7020402,7020952,"+","H37Rv",8653
"12349",7020402,7020952,"-","H37Rv",8654
"4329",7020952,7021502,"+","H37Rv",8655
"12350",7020952,7021502,"-","H37Rv",8656
"4330",7021502,7022052,"+","H37Rv",8657
"12351",7021502,7022052,"-","H37Rv",8658
"4331",7022052,7022602,"+","H37Rv",8659
"12352",7022052,7022602,"-","H37Rv",8660
"4332",7022602,7023152,"+","H37Rv",8661
"12353",7022602,7023152,"-","H37Rv",8662
"4333",7023152,7023702,"+","H37Rv",8663
"12354",7023152,7023702,"-","H37Rv",8664
"4334",7023702,7024252,"+","H37Rv",8665
"12355",7023702,7024252,"-","H37Rv",8666
"4335",7024252,7024802,"+","H37Rv",8667
"12356",7024252,7024802,"-","H37Rv",8668
"4336",7024802,7025352,"+","H37Rv",8669
"12357",7024802,7025352,"-","H37Rv",8670
"4337",7025352,7025902,"+","H37Rv",8671
"12358",7025352,7025902,"-","H37Rv",8672
"4338",7025902,7026452,"+","H37Rv",8673
"12359",7025902,7026452,"-","H37Rv",8674
"4339",7026452,7027002,"+","H37Rv",8675
"12360",7026452,7027002,"-","H37Rv",8676
"4340",7027002,7027552,"+","H37Rv",8677
"12361",7027002,7027552,"-","H37Rv",8678
"4341",7027552,7028102,"+","H37Rv",8679
"12362",7027552,7028102,"-","H37Rv",8680
"4342",7028102,7028652,"+","H37Rv",8681
"12363",7028102,7028652,"-","H37Rv",8682
"4343",7028652,7029202,"+","H37Rv",8683
"12364",7028652,7029202,"-","H37Rv",8684
"4344",7029202,7029752,"+","H37Rv",8685
"12365",7029202,7029752,"-","H37Rv",8686
"4345",7029752,7030302,"+","H37Rv",8687
"12366",7029752,7030302,"-","H37Rv",8688
"4346",7030302,7030852,"+","H37Rv",8689
"12367",7030302,7030852,"-","H37Rv",8690
"4347",7030852,7031402,"+","H37Rv",8691
"12368",7030852,7031402,"-","H37Rv",8692
"4348",7031402,7031952,"+","H37Rv",8693
"12369",7031402,7031952,"-","H37Rv",8694
"4349",7031952,7032502,"+","H37Rv",8695
"12370",7031952,7032502,"-","H37Rv",8696
"4350",7032502,7033052,"+","H37Rv",8697
"12371",7032502,7033052,"-","H37Rv",8698
"4351",7033052,7033602,"+","H37Rv",8699
"12372",7033052,7033602,"-","H37Rv",8700
"4352",7033602,7034152,"+","H37Rv",8701
"12373",7033602,7034152,"-","H37Rv",8702
"4353",7034152,7034702,"+","H37Rv",8703
"12374",7034152,7034702,"-","H37Rv",8704
"4354",7034702,7035252,"+","H37Rv",8705
"12375",7034702,7035252,"-","H37Rv",8706
"4355",7035252,7035802,"+","H37Rv",8707
"12376",7035252,7035802,"-","H37Rv",8708
"4356",7035802,7036352,"+","H37Rv",8709
"12377",7035802,7036352,"-","H37Rv",8710
"4357",7036352,7036902,"+","H37Rv",8711
"12378",7036352,7036902,"-","H37Rv",8712
"4358",7036902,7037452,"+","H37Rv",8713
"12379",7036902,7037452,"-","H37Rv",8714
"4359",7037452,7038002,"+","H37Rv",8715
"12380",7037452,7038002,"-","H37Rv",8716
"4360",7038002,7038552,"+","H37Rv",8717
"12381",7038002,7038552,"-","H37Rv",8718
"4361",7038552,7039102,"+","H37Rv",8719
"12382",7038552,7039102,"-","H37Rv",8720
"4362",7039102,7039652,"+","H37Rv",8721
"12383",7039102,7039652,"-","H37Rv",8722
"4363",7039652,7040202,"+","H37Rv",8723
"12384",7039652,7040202,"-","H37Rv",8724
"4364",7040202,7040752,"+","H37Rv",8725
"12385",7040202,7040752,"-","H37Rv",8726
"4365",7040752,7041302,"+","H37Rv",8727
"12386",7040752,7041302,"-","H37Rv",8728
"4366",7041302,7041852,"+","H37Rv",8729
"12387",7041302,7041852,"-","H37Rv",8730
"4367",7041852,7042402,"+","H37Rv",8731
"12388",7041852,7042402,"-","H37Rv",8732
"4368",7042402,7042952,"+","H37Rv",8733
"12389",7042402,7042952,"-","H37Rv",8734
"4369",7042952,7043502,"+","H37Rv",8735
"12390",7042952,7043502,"-","H37Rv",8736
"4370",7043502,7044052,"+","H37Rv",8737
"12391",7043502,7044052,"-","H37Rv",8738
"4371",7044052,7044602,"+","H37Rv",8739
"12392",7044052,7044602,"-","H37Rv",8740
"4372",7044602,7045152,"+","H37Rv",8741
"12393",7044602,7045152,"-","H37Rv",8742
"4373",7045152,7045702,"+","H37Rv",8743
"12394",7045152,7045702,"-","H37Rv",8744
"4374",7045702,7046252,"+","H37Rv",8745
"12395",7045702,7046252,"-","H37Rv",8746
"4375",7046252,7046802,"+","H37Rv",8747
"12396",7046252,7046802,"-","H37Rv",8748
"4376",7046802,7047352,"+","H37Rv",8749
"12397",7046802,7047352,"-","H37Rv",8750
"4377",7047352,7047902,"+","H37Rv",8751
"12398",7047352,7047902,"-","H37Rv",8752
"4378",7047902,7048452,"+","H37Rv",8753
"12399",7047902,7048452,"-","H37Rv",8754
"4379",7048452,7049002,"+","H37Rv",8755
"12400",7048452,7049002,"-","H37Rv",8756
"4380",7049002,7049552,"+","H37Rv",8757
"12401",7049002,7049552,"-","H37Rv",8758
"4381",7049552,7050102,"+","H37Rv",8759
"12402",7049552,7050102,"-","H37Rv",8760
"4382",7050102,7050652,"+","H37Rv",8761
"12403",7050102,7050652,"-","H37Rv",8762
"4383",7050652,7051202,"+","H37Rv",8763
"12404",7050652,7051202,"-","H37Rv",8764
"4384",7051202,7051752,"+","H37Rv",8765
"12405",7051202,7051752,"-","H37Rv",8766
"4385",7051752,7052302,"+","H37Rv",8767
"12406",7051752,7052302,"-","H37Rv",8768
"4386",7052302,7052852,"+","H37Rv",8769
"12407",7052302,7052852,"-","H37Rv",8770
"4387",7052852,7053402,"+","H37Rv",8771
"12408",7052852,7053402,"-","H37Rv",8772
"4388",7053402,7053952,"+","H37Rv",8773
"12409",7053402,7053952,"-","H37Rv",8774
"4389",7053952,7054502,"+","H37Rv",8775
"12410",7053952,7054502,"-","H37Rv",8776
"4390",7054502,7055052,"+","H37Rv",8777
"12411",7054502,7055052,"-","H37Rv",8778
"4391",7055052,7055602,"+","H37Rv",8779
"12412",7055052,7055602,"-","H37Rv",8780
"4392",7055602,7056152,"+","H37Rv",8781
"12413",7055602,7056152,"-","H37Rv",8782
"4393",7056152,7056702,"+","H37Rv",8783
"12414",7056152,7056702,"-","H37Rv",8784
"4394",7056702,7057252,"+","H37Rv",8785
"12415",7056702,7057252,"-","H37Rv",8786
"4395",7057252,7057802,"+","H37Rv",8787
"12416",7057252,7057802,"-","H37Rv",8788
"4396",7057802,7058352,"+","H37Rv",8789
"12417",7057802,7058352,"-","H37Rv",8790
"4397",7058352,7058902,"+","H37Rv",8791
"12418",7058352,7058902,"-","H37Rv",8792
"4398",7058902,7059452,"+","H37Rv",8793
"12419",7058902,7059452,"-","H37Rv",8794
"4399",7059452,7060002,"+","H37Rv",8795
"12420",7059452,7060002,"-","H37Rv",8796
"4400",7060002,7060552,"+","H37Rv",8797
"12421",7060002,7060552,"-","H37Rv",8798
"4401",7060552,7061102,"+","H37Rv",8799
"12422",7060552,7061102,"-","H37Rv",8800
"4402",7061102,7061652,"+","H37Rv",8801
"12423",7061102,7061652,"-","H37Rv",8802
"4403",7061652,7062202,"+","H37Rv",8803
"12424",7061652,7062202,"-","H37Rv",8804
"4404",7062202,7062752,"+","H37Rv",8805
"12425",7062202,7062752,"-","H37Rv",8806
"4405",7062752,7063302,"+","H37Rv",8807
"12426",7062752,7063302,"-","H37Rv",8808
"4406",7063302,7063852,"+","H37Rv",8809
"12427",7063302,7063852,"-","H37Rv",8810
"4407",7063852,7064402,"+","H37Rv",8811
"12428",7063852,7064402,"-","H37Rv",8812
"4408",7064402,7064952,"+","H37Rv",8813
"12429",7064402,7064952,"-","H37Rv",8814
"4409",7064952,7065502,"+","H37Rv",8815
"12430",7064952,7065502,"-","H37Rv",8816
"4410",7065502,7066052,"+","H37Rv",8817
"12431",7065502,7066052,"-","H37Rv",8818
"4411",7066052,7066602,"+","H37Rv",8819
"12432",7066052,7066602,"-","H37Rv",8820
"4412",7066602,7067152,"+","H37Rv",8821
"12433",7066602,7067152,"-","H37Rv",8822
"4413",7067152,7067702,"+","H37Rv",8823
"12434",7067152,7067702,"-","H37Rv",8824
"4414",7067702,7068252,"+","H37Rv",8825
"12435",7067702,7068252,"-","H37Rv",8826
"4415",7068252,7068802,"+","H37Rv",8827
"12436",7068252,7068802,"-","H37Rv",8828
"4416",7068802,7069352,"+","H37Rv",8829
"12437",7068802,7069352,"-","H37Rv",8830
"4417",7069352,7069902,"+","H37Rv",8831
"12438",7069352,7069902,"-","H37Rv",8832
"4418",7069902,7070452,"+","H37Rv",8833
"12439",7069902,7070452,"-","H37Rv",8834
"4419",7070452,7071002,"+","H37Rv",8835
"12440",7070452,7071002,"-","H37Rv",8836
"4420",7071002,7071552,"+","H37Rv",8837
"12441",7071002,7071552,"-","H37Rv",8838
"4421",7071552,7072102,"+","H37Rv",8839
"12442",7071552,7072102,"-","H37Rv",8840
"4422",7072102,7072652,"+","H37Rv",8841
"12443",7072102,7072652,"-","H37Rv",8842
"4423",7072652,7073202,"+","H37Rv",8843
"12444",7072652,7073202,"-","H37Rv",8844
"4424",7073202,7073752,"+","H37Rv",8845
"12445",7073202,7073752,"-","H37Rv",8846
"4425",7073752,7074302,"+","H37Rv",8847
"12446",7073752,7074302,"-","H37Rv",8848
"4426",7074302,7074852,"+","H37Rv",8849
"12447",7074302,7074852,"-","H37Rv",8850
"4427",7074852,7075402,"+","H37Rv",8851
"12448",7074852,7075402,"-","H37Rv",8852
"4428",7075402,7075952,"+","H37Rv",8853
"12449",7075402,7075952,"-","H37Rv",8854
"4429",7075952,7076502,"+","H37Rv",8855
"12450",7075952,7076502,"-","H37Rv",8856
"4430",7076502,7077052,"+","H37Rv",8857
"12451",7076502,7077052,"-","H37Rv",8858
"4431",7077052,7077602,"+","H37Rv",8859
"12452",7077052,7077602,"-","H37Rv",8860
"4432",7077602,7078152,"+","H37Rv",8861
"12453",7077602,7078152,"-","H37Rv",8862
"4433",7078152,7078702,"+","H37Rv",8863
"12454",7078152,7078702,"-","H37Rv",8864
"4434",7078702,7079252,"+","H37Rv",8865
"12455",7078702,7079252,"-","H37Rv",8866
"4435",7079252,7079802,"+","H37Rv",8867
"12456",7079252,7079802,"-","H37Rv",8868
"4436",7079802,7080352,"+","H37Rv",8869
"12457",7079802,7080352,"-","H37Rv",8870
"4437",7080352,7080902,"+","H37Rv",8871
"12458",7080352,7080902,"-","H37Rv",8872
"4438",7080902,7081452,"+","H37Rv",8873
"12459",7080902,7081452,"-","H37Rv",8874
"4439",7081452,7082002,"+","H37Rv",8875
"12460",7081452,7082002,"-","H37Rv",8876
"4440",7082002,7082552,"+","H37Rv",8877
"12461",7082002,7082552,"-","H37Rv",8878
"4441",7082552,7083102,"+","H37Rv",8879
"12462",7082552,7083102,"-","H37Rv",8880
"4442",7083102,7083652,"+","H37Rv",8881
"12463",7083102,7083652,"-","H37Rv",8882
"4443",7083652,7084202,"+","H37Rv",8883
"12464",7083652,7084202,"-","H37Rv",8884
"4444",7084202,7084752,"+","H37Rv",8885
"12465",7084202,7084752,"-","H37Rv",8886
"4445",7084752,7085302,"+","H37Rv",8887
"12466",7084752,7085302,"-","H37Rv",8888
"4446",7085302,7085852,"+","H37Rv",8889
"12467",7085302,7085852,"-","H37Rv",8890
"4447",7085852,7086402,"+","H37Rv",8891
"12468",7085852,7086402,"-","H37Rv",8892
"4448",7086402,7086952,"+","H37Rv",8893
"12469",7086402,7086952,"-","H37Rv",8894
"4449",7086952,7087502,"+","H37Rv",8895
"12470",7086952,7087502,"-","H37Rv",8896
"4450",7087502,7088052,"+","H37Rv",8897
"12471",7087502,7088052,"-","H37Rv",8898
"4451",7088052,7088602,"+","H37Rv",8899
"12472",7088052,7088602,"-","H37Rv",8900
"4452",7088602,7089152,"+","H37Rv",8901
"12473",7088602,7089152,"-","H37Rv",8902
"4453",7089152,7089702,"+","H37Rv",8903
"12474",7089152,7089702,"-","H37Rv",8904
"4454",7089702,7090252,"+","H37Rv",8905
"12475",7089702,7090252,"-","H37Rv",8906
"4455",7090252,7090802,"+","H37Rv",8907
"12476",7090252,7090802,"-","H37Rv",8908
"4456",7090802,7091352,"+","H37Rv",8909
"12477",7090802,7091352,"-","H37Rv",8910
"4457",7091352,7091902,"+","H37Rv",8911
"12478",7091352,7091902,"-","H37Rv",8912
"4458",7091902,7092452,"+","H37Rv",8913
"12479",7091902,7092452,"-","H37Rv",8914
"4459",7092452,7093002,"+","H37Rv",8915
"12480",7092452,7093002,"-","H37Rv",8916
"4460",7093002,7093552,"+","H37Rv",8917
"12481",7093002,7093552,"-","H37Rv",8918
"4461",7093552,7094102,"+","H37Rv",8919
"12482",7093552,7094102,"-","H37Rv",8920
"4462",7094102,7094652,"+","H37Rv",8921
"12483",7094102,7094652,"-","H37Rv",8922
"4463",7094652,7095202,"+","H37Rv",8923
"12484",7094652,7095202,"-","H37Rv",8924
"4464",7095202,7095752,"+","H37Rv",8925
"12485",7095202,7095752,"-","H37Rv",8926
"4465",7095752,7096302,"+","H37Rv",8927
"12486",7095752,7096302,"-","H37Rv",8928
"4466",7096302,7096852,"+","H37Rv",8929
"12487",7096302,7096852,"-","H37Rv",8930
"4467",7096852,7097402,"+","H37Rv",8931
"12488",7096852,7097402,"-","H37Rv",8932
"4468",7097402,7097952,"+","H37Rv",8933
"12489",7097402,7097952,"-","H37Rv",8934
"4469",7097952,7098502,"+","H37Rv",8935
"12490",7097952,7098502,"-","H37Rv",8936
"4470",7098502,7099052,"+","H37Rv",8937
"12491",7098502,7099052,"-","H37Rv",8938
"4471",7099052,7099602,"+","H37Rv",8939
"12492",7099052,7099602,"-","H37Rv",8940
"4472",7099602,7100152,"+","H37Rv",8941
"12493",7099602,7100152,"-","H37Rv",8942
"4473",7100152,7100702,"+","H37Rv",8943
"12494",7100152,7100702,"-","H37Rv",8944
"4474",7100702,7101252,"+","H37Rv",8945
"12495",7100702,7101252,"-","H37Rv",8946
"4475",7101252,7101802,"+","H37Rv",8947
"12496",7101252,7101802,"-","H37Rv",8948
"4476",7101802,7102352,"+","H37Rv",8949
"12497",7101802,7102352,"-","H37Rv",8950
"4477",7102352,7102902,"+","H37Rv",8951
"12498",7102352,7102902,"-","H37Rv",8952
"4478",7102902,7103452,"+","H37Rv",8953
"12499",7102902,7103452,"-","H37Rv",8954
"4479",7103452,7104002,"+","H37Rv",8955
"12500",7103452,7104002,"-","H37Rv",8956
"4480",7104002,7104552,"+","H37Rv",8957
"12501",7104002,7104552,"-","H37Rv",8958
"4481",7104552,7105102,"+","H37Rv",8959
"12502",7104552,7105102,"-","H37Rv",8960
"4482",7105102,7105652,"+","H37Rv",8961
"12503",7105102,7105652,"-","H37Rv",8962
"4483",7105652,7106202,"+","H37Rv",8963
"12504",7105652,7106202,"-","H37Rv",8964
"4484",7106202,7106752,"+","H37Rv",8965
"12505",7106202,7106752,"-","H37Rv",8966
"4485",7106752,7107302,"+","H37Rv",8967
"12506",7106752,7107302,"-","H37Rv",8968
"4486",7107302,7107852,"+","H37Rv",8969
"12507",7107302,7107852,"-","H37Rv",8970
"4487",7107852,7108402,"+","H37Rv",8971
"12508",7107852,7108402,"-","H37Rv",8972
"4488",7108402,7108952,"+","H37Rv",8973
"12509",7108402,7108952,"-","H37Rv",8974
"4489",7108952,7109502,"+","H37Rv",8975
"12510",7108952,7109502,"-","H37Rv",8976
"4490",7109502,7110052,"+","H37Rv",8977
"12511",7109502,7110052,"-","H37Rv",8978
"4491",7110052,7110602,"+","H37Rv",8979
"12512",7110052,7110602,"-","H37Rv",8980
"4492",7110602,7111152,"+","H37Rv",8981
"12513",7110602,7111152,"-","H37Rv",8982
"4493",7111152,7111702,"+","H37Rv",8983
"12514",7111152,7111702,"-","H37Rv",8984
"4494",7111702,7112252,"+","H37Rv",8985
"12515",7111702,7112252,"-","H37Rv",8986
"4495",7112252,7112802,"+","H37Rv",8987
"12516",7112252,7112802,"-","H37Rv",8988
"4496",7112802,7113352,"+","H37Rv",8989
"12517",7112802,7113352,"-","H37Rv",8990
"4497",7113352,7113902,"+","H37Rv",8991
"12518",7113352,7113902,"-","H37Rv",8992
"4498",7113902,7114452,"+","H37Rv",8993
"12519",7113902,7114452,"-","H37Rv",8994
"4499",7114452,7115002,"+","H37Rv",8995
"12520",7114452,7115002,"-","H37Rv",8996
"4500",7115002,7115552,"+","H37Rv",8997
"12521",7115002,7115552,"-","H37Rv",8998
"4501",7115552,7116102,"+","H37Rv",8999
"12522",7115552,7116102,"-","H37Rv",9000
"4502",7116102,7116652,"+","H37Rv",9001
"12523",7116102,7116652,"-","H37Rv",9002
"4503",7116652,7117202,"+","H37Rv",9003
"12524",7116652,7117202,"-","H37Rv",9004
"4504",7117202,7117752,"+","H37Rv",9005
"12525",7117202,7117752,"-","H37Rv",9006
"4505",7117752,7118302,"+","H37Rv",9007
"12526",7117752,7118302,"-","H37Rv",9008
"4506",7118302,7118852,"+","H37Rv",9009
"12527",7118302,7118852,"-","H37Rv",9010
"4507",7118852,7119402,"+","H37Rv",9011
"12528",7118852,7119402,"-","H37Rv",9012
"4508",7119402,7119952,"+","H37Rv",9013
"12529",7119402,7119952,"-","H37Rv",9014
"4509",7119952,7120502,"+","H37Rv",9015
"12530",7119952,7120502,"-","H37Rv",9016
"4510",7120502,7121052,"+","H37Rv",9017
"12531",7120502,7121052,"-","H37Rv",9018
"4511",7121052,7121602,"+","H37Rv",9019
"12532",7121052,7121602,"-","H37Rv",9020
"4512",7121602,7122152,"+","H37Rv",9021
"12533",7121602,7122152,"-","H37Rv",9022
"4513",7122152,7122702,"+","H37Rv",9023
"12534",7122152,7122702,"-","H37Rv",9024
"4514",7122702,7123252,"+","H37Rv",9025
"12535",7122702,7123252,"-","H37Rv",9026
"4515",7123252,7123802,"+","H37Rv",9027
"12536",7123252,7123802,"-","H37Rv",9028
"4516",7123802,7124352,"+","H37Rv",9029
"12537",7123802,7124352,"-","H37Rv",9030
"4517",7124352,7124902,"+","H37Rv",9031
"12538",7124352,7124902,"-","H37Rv",9032
"4518",7124902,7125452,"+","H37Rv",9033
"12539",7124902,7125452,"-","H37Rv",9034
"4519",7125452,7126002,"+","H37Rv",9035
"12540",7125452,7126002,"-","H37Rv",9036
"4520",7126002,7126552,"+","H37Rv",9037
"12541",7126002,7126552,"-","H37Rv",9038
"4521",7126552,7127102,"+","H37Rv",9039
"12542",7126552,7127102,"-","H37Rv",9040
"4522",7127102,7127652,"+","H37Rv",9041
"12543",7127102,7127652,"-","H37Rv",9042
"4523",7127652,7128202,"+","H37Rv",9043
"12544",7127652,7128202,"-","H37Rv",9044
"4524",7128202,7128752,"+","H37Rv",9045
"12545",7128202,7128752,"-","H37Rv",9046
"4525",7128752,7129302,"+","H37Rv",9047
"12546",7128752,7129302,"-","H37Rv",9048
"4526",7129302,7129852,"+","H37Rv",9049
"12547",7129302,7129852,"-","H37Rv",9050
"4527",7129852,7130402,"+","H37Rv",9051
"12548",7129852,7130402,"-","H37Rv",9052
"4528",7130402,7130952,"+","H37Rv",9053
"12549",7130402,7130952,"-","H37Rv",9054
"4529",7130952,7131502,"+","H37Rv",9055
"12550",7130952,7131502,"-","H37Rv",9056
"4530",7131502,7132052,"+","H37Rv",9057
"12551",7131502,7132052,"-","H37Rv",9058
"4531",7132052,7132602,"+","H37Rv",9059
"12552",7132052,7132602,"-","H37Rv",9060
"4532",7132602,7133152,"+","H37Rv",9061
"12553",7132602,7133152,"-","H37Rv",9062
"4533",7133152,7133702,"+","H37Rv",9063
"12554",7133152,7133702,"-","H37Rv",9064
"4534",7133702,7134252,"+","H37Rv",9065
"12555",7133702,7134252,"-","H37Rv",9066
"4535",7134252,7134802,"+","H37Rv",9067
"12556",7134252,7134802,"-","H37Rv",9068
"4536",7134802,7135352,"+","H37Rv",9069
"12557",7134802,7135352,"-","H37Rv",9070
"4537",7135352,7135902,"+","H37Rv",9071
"12558",7135352,7135902,"-","H37Rv",9072
"4538",7135902,7136452,"+","H37Rv",9073
"12559",7135902,7136452,"-","H37Rv",9074
"4539",7136452,7137002,"+","H37Rv",9075
"12560",7136452,7137002,"-","H37Rv",9076
"4540",7137002,7137552,"+","H37Rv",9077
"12561",7137002,7137552,"-","H37Rv",9078
"4541",7137552,7138102,"+","H37Rv",9079
"12562",7137552,7138102,"-","H37Rv",9080
"4542",7138102,7138652,"+","H37Rv",9081
"12563",7138102,7138652,"-","H37Rv",9082
"4543",7138652,7139202,"+","H37Rv",9083
"12564",7138652,7139202,"-","H37Rv",9084
"4544",7139202,7139752,"+","H37Rv",9085
"12565",7139202,7139752,"-","H37Rv",9086
"4545",7139752,7140302,"+","H37Rv",9087
"12566",7139752,7140302,"-","H37Rv",9088
"4546",7140302,7140852,"+","H37Rv",9089
"12567",7140302,7140852,"-","H37Rv",9090
"4547",7140852,7141402,"+","H37Rv",9091
"12568",7140852,7141402,"-","H37Rv",9092
"4548",7141402,7141952,"+","H37Rv",9093
"12569",7141402,7141952,"-","H37Rv",9094
"4549",7141952,7142502,"+","H37Rv",9095
"12570",7141952,7142502,"-","H37Rv",9096
"4550",7142502,7143052,"+","H37Rv",9097
"12571",7142502,7143052,"-","H37Rv",9098
"4551",7143052,7143602,"+","H37Rv",9099
"12572",7143052,7143602,"-","H37Rv",9100
"4552",7143602,7144152,"+","H37Rv",9101
"12573",7143602,7144152,"-","H37Rv",9102
"4553",7144152,7144702,"+","H37Rv",9103
"12574",7144152,7144702,"-","H37Rv",9104
"4554",7144702,7145252,"+","H37Rv",9105
"12575",7144702,7145252,"-","H37Rv",9106
"4555",7145252,7145802,"+","H37Rv",9107
"12576",7145252,7145802,"-","H37Rv",9108
"4556",7145802,7146352,"+","H37Rv",9109
"12577",7145802,7146352,"-","H37Rv",9110
"4557",7146352,7146902,"+","H37Rv",9111
"12578",7146352,7146902,"-","H37Rv",9112
"4558",7146902,7147452,"+","H37Rv",9113
"12579",7146902,7147452,"-","H37Rv",9114
"4559",7147452,7148002,"+","H37Rv",9115
"12580",7147452,7148002,"-","H37Rv",9116
"4560",7148002,7148552,"+","H37Rv",9117
"12581",7148002,7148552,"-","H37Rv",9118
"4561",7148552,7149102,"+","H37Rv",9119
"12582",7148552,7149102,"-","H37Rv",9120
"4562",7149102,7149652,"+","H37Rv",9121
"12583",7149102,7149652,"-","H37Rv",9122
"4563",7149652,7150202,"+","H37Rv",9123
"12584",7149652,7150202,"-","H37Rv",9124
"4564",7150202,7150752,"+","H37Rv",9125
"12585",7150202,7150752,"-","H37Rv",9126
"4565",7150752,7151302,"+","H37Rv",9127
"12586",7150752,7151302,"-","H37Rv",9128
"4566",7151302,7151852,"+","H37Rv",9129
"12587",7151302,7151852,"-","H37Rv",9130
"4567",7151852,7152402,"+","H37Rv",9131
"12588",7151852,7152402,"-","H37Rv",9132
"4568",7152402,7152952,"+","H37Rv",9133
"12589",7152402,7152952,"-","H37Rv",9134
"4569",7152952,7153502,"+","H37Rv",9135
"12590",7152952,7153502,"-","H37Rv",9136
"4570",7153502,7154052,"+","H37Rv",9137
"12591",7153502,7154052,"-","H37Rv",9138
"4571",7154052,7154602,"+","H37Rv",9139
"12592",7154052,7154602,"-","H37Rv",9140
"4572",7154602,7155152,"+","H37Rv",9141
"12593",7154602,7155152,"-","H37Rv",9142
"4573",7155152,7155702,"+","H37Rv",9143
"12594",7155152,7155702,"-","H37Rv",9144
"4574",7155702,7156252,"+","H37Rv",9145
"12595",7155702,7156252,"-","H37Rv",9146
"4575",7156252,7156802,"+","H37Rv",9147
"12596",7156252,7156802,"-","H37Rv",9148
"4576",7156802,7157352,"+","H37Rv",9149
"12597",7156802,7157352,"-","H37Rv",9150
"4577",7157352,7157902,"+","H37Rv",9151
"12598",7157352,7157902,"-","H37Rv",9152
"4578",7157902,7158452,"+","H37Rv",9153
"12599",7157902,7158452,"-","H37Rv",9154
"4579",7158452,7159002,"+","H37Rv",9155
"12600",7158452,7159002,"-","H37Rv",9156
"4580",7159002,7159552,"+","H37Rv",9157
"12601",7159002,7159552,"-","H37Rv",9158
"4581",7159552,7160102,"+","H37Rv",9159
"12602",7159552,7160102,"-","H37Rv",9160
"4582",7160102,7160652,"+","H37Rv",9161
"12603",7160102,7160652,"-","H37Rv",9162
"4583",7160652,7161202,"+","H37Rv",9163
"12604",7160652,7161202,"-","H37Rv",9164
"4584",7161202,7161752,"+","H37Rv",9165
"12605",7161202,7161752,"-","H37Rv",9166
"4585",7161752,7162302,"+","H37Rv",9167
"12606",7161752,7162302,"-","H37Rv",9168
"4586",7162302,7162852,"+","H37Rv",9169
"12607",7162302,7162852,"-","H37Rv",9170
"4587",7162852,7163402,"+","H37Rv",9171
"12608",7162852,7163402,"-","H37Rv",9172
"4588",7163402,7163952,"+","H37Rv",9173
"12609",7163402,7163952,"-","H37Rv",9174
"4589",7163952,7164502,"+","H37Rv",9175
"12610",7163952,7164502,"-","H37Rv",9176
"4590",7164502,7165052,"+","H37Rv",9177
"12611",7164502,7165052,"-","H37Rv",9178
"4591",7165052,7165602,"+","H37Rv",9179
"12612",7165052,7165602,"-","H37Rv",9180
"4592",7165602,7166152,"+","H37Rv",9181
"12613",7165602,7166152,"-","H37Rv",9182
"4593",7166152,7166702,"+","H37Rv",9183
"12614",7166152,7166702,"-","H37Rv",9184
"4594",7166702,7167252,"+","H37Rv",9185
"12615",7166702,7167252,"-","H37Rv",9186
"4595",7167252,7167802,"+","H37Rv",9187
"12616",7167252,7167802,"-","H37Rv",9188
"4596",7167802,7168352,"+","H37Rv",9189
"12617",7167802,7168352,"-","H37Rv",9190
"4597",7168352,7168902,"+","H37Rv",9191
"12618",7168352,7168902,"-","H37Rv",9192
"4598",7168902,7169452,"+","H37Rv",9193
"12619",7168902,7169452,"-","H37Rv",9194
"4599",7169452,7170002,"+","H37Rv",9195
"12620",7169452,7170002,"-","H37Rv",9196
"4600",7170002,7170552,"+","H37Rv",9197
"12621",7170002,7170552,"-","H37Rv",9198
"4601",7170552,7171102,"+","H37Rv",9199
"12622",7170552,7171102,"-","H37Rv",9200
"4602",7171102,7171652,"+","H37Rv",9201
"12623",7171102,7171652,"-","H37Rv",9202
"4603",7171652,7172202,"+","H37Rv",9203
"12624",7171652,7172202,"-","H37Rv",9204
"4604",7172202,7172752,"+","H37Rv",9205
"12625",7172202,7172752,"-","H37Rv",9206
